Marca temporal,Vacunado,Nombre,Apellido,Sexo,parentesco,anio,DIA,mes,nacimiento,Edad,Rango_edad,N_iden,iden,Telefono,email,Grupo_etnico,discapacidad,desplazado,comorbilidad,reg_afiliacion,EPS,empleo,Departamento,Municipio,Area,Barrio,Direccion,vacuna,Dosis_recivida,lote1,Fecha_Dosis1,Lote2,Fecha_Dosis2,IPS,Tipo_pp,Nivel,sintoma1,sintoma2,sintoma3,sintoma4,sintoma5,sintoma6,sintoma7,vacunador,creencia,Confia
2021/06/15 9:10:42 p. m. GMT-5,Vacunado11,Antonia,Ruiz,Mujer,Tio,1954,20,5,20/05/1954,67,60-69,10320382,Cédula,3224204679,nec.malesuada@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,NUEVA EPS,Ama de casa,Cauca,Popayán,Urbano,Vereda Punta Larga,Vereda Punta Larga,Pfizer-BioNTech,2,ET6924,30/04/2021,ET6924,21/05/2021,Nueva IPS Rehabilitar,Público,1,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/15 9:13:37 p. m. GMT-5,Vacunado12,Joaquin,Viveros,Hombre,Tia,1952,21,6,21/06/1952,69,60-69,1061782120,Cédula,3225477896,Nullam.vitae.diam@gmail.com,Sin pertenencia étnica,No,No,Miocardiopatías o hipertensión,Contributivo,NUEVA EPS,Transmisorista,Cauca,Popayán,Urbano,Vereda Punta Larga,Vereda Punta Larga,Pfizer-BioNTech,2,ET6924,30/04/2021,ET6924,21/05/2021,Nueva IPS Rehabilitar,Público,1,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/16 8:49:49 a. m. GMT-5,Vacunado13,Yolanda,Aranda,Mujer,Primo,1933,28,6,28/06/1933,88,Mayor de 80,25649627,Cédula,3227253738,conubia.nostra@gmail.com,Sin pertenencia étnica,No,Sí,Diabetes (tipo 1 o tipo 2),Contributivo,SANITAS,Ama de casa,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,CoronaVac (Sinovac),2,E202102011,12/03/2021,E202102011,09/04/2021,Hospital Morales,Público,1,Ninguno,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/21 9:48:58 a. m. GMT-5,Vacunado14,Maximo,Espinosa,Hombre,Prima,1971,13,12,13/12/1971,50,48-52,1061810650,Cédula,3222550969,nibh@gmail.com,Sin pertenencia étnica,No,No,Miocardiopatías o hipertensión,Contributivo,NUEVA EPS,Abogado,Cauca,Popayán,Urbano,El Uvo,Cra 20 # 13-89,Pfizer-BioNTech,1,CN7609,18/06/2021,,09/07/2021,Hospital Susana López,Privada,3,Dolor en el sitio de la inyección,,,,,,,Enfermero,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/21 9:53:02 a. m. GMT-5,Vacunado15,Nidia,González,Mujer,Madre,1969,7,2,07/02/1969,52,48-52,1063813440,Cédula,3225859894,metus.In.nec@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SANITAS,"Los docentes, directivos docentes y personal administrativos de los centros de educación inicial, prescolar, básica primaria, básica secundaria y educación media.",Cauca,Popayán,Urbano,Camilo Torres,Calle 5 #22-45,Pfizer-BioNTech,2,KL8922,14/06/2021,,05/07/2021,Hospital Susana López,Privada,3,Dolor en el sitio de la inyección,Artralgia (dolor en las articulaciones),,,,,,Enfermera,Puedes deshacerte de tu mascarilla después de vacunarte,Confió en la efectividad de la vacuna.
2021/06/21 10:00:17 a. m. GMT-5,Vacunado16,William,Sanchez,Hombre,Hijo,1960,30,11,30/11/1960,61,60-69,25398093,Cédula,3220498443,Quisque.purus@gmail.com,Sin pertenencia étnica,No,No,Miocardiopatías o hipertensión,Contributivo,NUEVA EPS,Trabajador de la salud.,Cauca,Popayán,Urbano,Bella Vista,Trv 9 #34-67,Pfizer-BioNTech,2,TX8567,03/05/2021,TX8567,24/05/2021,Nueva IPS Rehabilitar,Público,1,Dolor en el sitio de la inyección,Fiebre,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/21 10:11:37 a. m. GMT-5,Vacunado17,Johana,Rodriguez,Mujer,Hijo,1960,13,3,13/03/1960,61,60-69,25290312,Cédula,3227663173,ac.tellus.Suspendisse@gmail.com,Sin pertenencia étnica,No,No,Diabetes (tipo 1 o tipo 2),Contributivo,EMSSANAR,Jubilado,Cauca,Popayán,Urbano,María Occidente ,Carrera 42 # 56-78,Pfizer-BioNTech,2,RG9587,21/04/2021,RG9587,12/05/2021,Hospital María Occidente,Público,1,Dolor en el sitio de la inyección,Artralgia (dolor en las articulaciones),,,,,,Enfermero,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/21 11:23:09 a. m. GMT-5,Vacunado18,Mario,Herrera,Hombre,Amiga,1968,9,3,09/03/1968,53,53-57,1061826760,Cédula,3223487858,a.aliquet.vel@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SANITAS,Desempleado,Cauca,Popayán,Urbano,Campo Bello,calle 34 #45-23,Pfizer-BioNTech,1,KJ7544,11/06/2021,,02/07/2021,Clínica Santa Gracia,Público,3,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/21 2:46:18 p. m. GMT-5,Vacunado19,Antonia,Franco,Mujer,Hijo,1956,16,2,16/02/1956,65,60-69,48627382,Cédula,3227087529,ultrices@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SANITAS,Ama de casa,Cauca,Popayán,Urbano,Bello Horizonte,Calle 64 #23-85,Pfizer-BioNTech,2,HT2134,12/04/2021,HT2134,03/05/2021,Centro de Salud Bello Horizonte,Público,1,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/21 3:04:10 p. m. GMT-5,Vacunado20,Antonella,Vargas,Hombre,Hijo,1966,23,9,23/09/1966,55,53-57,1061723700,Cédula,3220656429,mauris.aliquam.eu@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SANITAS,Jubilado,Cauca,Popayán,Urbano,El Pajonal,Carrera 18c #15-22,Pfizer-BioNTech,2,KH6788,05/05/2021,KH6788,26/05/2021,Hospital Susana López,Privada,3,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/23 8:53:03 a. m. GMT-5,Vacunado21,Duvan,Romero,Mujer,Amiga,1957,4,5,04/05/1957,64,60-69,34545719,Cédula,3226877536,sem@gmail.com,Negro,No,No,Ninguno,Subsidiado,ASMET SALUD,Ama de casa,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,AstraZeneca,1,ABX6491,17/06/2021,,09/08/2021,Hospital Morales,Público,1,Ninguno,,,,,,,Enfermera,No necesitas ambas dosis de las vacunas de dos dosis,Confió en la efectividad de la vacuna.
2021/06/23 8:58:35 a. m. GMT-5,Vacunado22,Steven,Montenegro,Hombre,Hijo,1961,17,8,17/08/1961,60,60-69,4763773,Cédula,3220747770,diam.Proin.dolor@sgmail.com,Indígena,No,No,Ninguno,Subsidiado,ASMET SALUD,Campesino,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,AstraZeneca,1,ABX6492,17/06/2021,,09/08/2021,Hospital Morales,Público,1,Fiebre,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/23 9:05:49 a. m. GMT-5,Vacunado23,Ximena,Villalobos,Mujer,Hijo,1970,11,7,11/07/1970,51,48-52,1002970220,Cédula,3226588116,eget.odio@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SANITAS,Ama de casa,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,AstraZeneca,1,ABX6493,20/06/2021,,12/02/2021,Hospital Morales,Público,1,Ninguno,,,,,,,Enfermera,"Si ya has tenido la COVID-19, no necesitas vacunarte",Confió en la efectividad de la vacuna.
2021/06/23 11:11:49 a. m. GMT-5,Vacunado24,Julian,Padilla,Hombre,Amiga,1981,9,2,09/02/1981,40,38-42,1061802370,Cédula,3220835474,mauris@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,SANITAS,Ingeniero,Cauca,Popayán,Urbano,El arenal,Calle 2c # 56 - 32,Pfizer-BioNTech,1,ET6924,27/06/2021,,27/07/2021,Clínica la Estancia,Privada,3,Dolor en el sitio de la inyección,,,,,,,Enfermera,Las vacunas pueden alterar tu ADN,No confió en la vacuna.
2021/06/29 8:15:25 p. m. GMT-5,Vacunado25,Yulieth,Sierra,Mujer,Hermano,1999,10,11,10/11/1999,22,18-22,1061750710,Cédula,3222823987,eu@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,NUEVA EPS,Estudiante área ambiental ,Cauca,Popayán,Urbano,La Paz,Calle 4d # 57 - 08,Pfizer-BioNTech,1,EY0586,25/06/2021,,25/07/2021,Clínica la Estancia,Privada,3,Dolor en el sitio de la inyección,Fatiga,Dolor de Cabeza (Cefalea),,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 12:52:39 p. m. GMT-5,Vacunado26,Caterine,Castillo,Mujer,Hijo,1982,28,8,28/08/1982,39,38-42,10544156,Cédula,3222895546,sit@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Subsidiado,ASMET SALUD,"Los docentes, directivos docentes y personal administrativos de los centros de educación inicial, prescolar, básica primaria, básica secundaria y educación media.",Cauca,Morales,Urbano,Morales,Cr 2 #01-8,CoronaVac (Sinovac),1,202104002N,07/04/2021,,07/05/2021,Hospital Morales,Público,1,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 1:02:26 p. m. GMT-5,Vacunado27,Camila,Guevara,Mujer,Amiga,1941,22,8,22/08/1941,80,Mayor de 80,10306971,Cédula,3224709987,Nuciiok@gmail.com,Sin pertenencia étnica,No,No,Diabetes (tipo 1 o tipo 2),Contributivo,ASMET SALUD,Ama de casa,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,CoronaVac (Sinovac),1,E202102011,23/03/2021,,23/04/2021,Hospital Morales,Público,1,Dolor en el sitio de la inyección,,,,,,,Enfermera,No necesitas ambas dosis de las vacunas de dos dosis,No confió en la vacuna.
2021/06/30 1:05:48 p. m. GMT-5,Vacunado28,Anibal,Arias,Hombre,Madre,1945,1,4,01/04/1945,76,70-79,25289895,Cédula,3223171025,facilisis@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Subsidiado,ASMET SALUD,agricultor,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,CoronaVac (Sinovac),2,E202102011,25/03/2021,202104002N,12/06/2021,Hospital Morales,Público,1,Fiebre,,,,,,,Enfermera,No necesitas ambas dosis de las vacunas de dos dosis,No confió en la vacuna.
2021/06/30 1:43:48 p. m. GMT-5,Vacunado29,Ximena,Ruiz,Mujer,Hija,1956,19,3,19/03/1956,65,60-69,29477874,Cédula,3225652989,accumsan.laoreet.ipsum@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Subsidiado,ASMET SALUD,Ama de casa,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,CoronaVac (Sinovac),2,C202104058,22/05/2021,202104024F,18/06/2021,Hospital Morales,Público,1,Fatiga,,,,,,,Enfermero,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 1:47:31 p. m. GMT-5,Vacunado30,Andres,Astaiza,Hombre,Amiga,1953,23,6,23/06/1953,68,60-69,1061737960,Cédula,3224188640,lacinia.at@gmail.com,Sin pertenencia étnica,No,No,EPOC (enfermedad pulmonar obstructiva crónica),Subsidiado,ASMET SALUD,agricultor,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,CoronaVac (Sinovac),2,C202104056,22/05/2021,202104024F,18/06/2021,Hospital Morales,Público,1,Desmayos,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,No confió en la vacuna.
2021/06/30 2:01:46 p. m. GMT-5,Vacunado31,Andrea,Reyes,Mujer,Hija,1950,5,11,05/11/1950,71,70-79,1061734940,Cédula,3228982886,ultrices.sit@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Subsidiado,ASMET SALUD,Ama de casa,Cauca,Morales,Rural,El porvenir,Vereda El Porvenir,CoronaVac (Sinovac),1,E202102011,28/03/2021,J202102009,21/04/2021,Hospital Morales,Público,1,Ninguno,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 10:26:17 p. m. GMT-5,Vacunado32,Martin,Burbano,Hombre,Hija,1971,9,5,09/05/1971,50,48-52,1061754360,Cédula,3222379856,malesuada@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,NUEVA EPS,Personal de la policía nacional.,Cauca,Popayán,Urbano,La Rioja,Calle 2b #57 c- 50,Pfizer-BioNTech,1,FD2367,19/06/2021,,10/07/2021,Nueva IPS Rehabilitar,Público,1,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 10:41:40 p. m. GMT-5,Vacunado33,Camila,Benevidez,Mujer,Hija,1968,26,1,26/01/1968,54,53-57,25394443,Cédula,3222692119,malesuada@gmail.com,Sin pertenencia étnica,No,No,Miocardiopatías o hipertensión,Contributivo,SANITAS,Contador,Cauca,Popayán,Urbano,Cadillal,Calle 4 a # 56 a 38,Pfizer-BioNTech,2,FN6653,12/06/2021,FN6653,03/07/2021,Hospital Susana López,Privada,3,Dolor en el sitio de la inyección,,,,,,,Enfermera,Puedes deshacerte de tu mascarilla después de vacunarte,Confió en la efectividad de la vacuna.
2021/06/30 10:47:40 p. m. GMT-5,Vacunado34,Leider,López,Hombre,Hija,1962,22,10,22/10/1962,59,58-59,25670218,Cédula,3224731978,Duis.risus@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,NUEVA EPS,Desempleado,Cauca,Popayán,Urbano,La Reserva del Bosque,CALLE 2D # 57C 50,Pfizer-BioNTech,2,RT2101,09/06/2021,RT2101,30/06/2021,Nueva IPS Rehabilitar,Público,1,Dolor en el sitio de la inyección,Alergia leve,,,,,,Enfermero,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 11:14:40 p. m. GMT-5,Vacunado35,Angel,Mendoza,Hombre,Hija,1963,14,9,14/09/1963,58,58-59,1061721130,Cédula,3226705765,nunc.risus.varius@gmail.com,Sin pertenencia étnica,No,No,Diabetes (tipo 1 o tipo 2),Subsidiado,SANITAS,"Los docentes, directivos docentes y personal administrativos de los centros de educación inicial, prescolar, básica primaria, básica secundaria y educación media.",Cauca,Popayán,Urbano,Bello Horizonte,CARRERA 54 # 2E - 11,Pfizer-BioNTech,2,TL9965,04/06/2021,TL9965,25/06/2021,Clínica Santa Gracia,Público,3,Dolor en el sitio de la inyección,Artralgia (dolor en las articulaciones),,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 11:17:00 p. m. GMT-5,Vacunado36,Rosario,Rojas,Mujer,Hermano,1967,17,12,17/12/1967,54,53-57,37003355,Cédula,3220868739,turpis.Aliquam@gmail.com,Sin pertenencia étnica,No,No,Asma (moderada a grave),Contributivo,NUEVA EPS,Ama de casa,Cauca,Popayán,Urbano,María Occidente,CARRERA 52 #2A-28,Pfizer-BioNTech,2,FX3455,03/06/2021,FX3455,24/06/2021,Hospital María Occidente,Público,1,Dolor en el sitio de la inyección,,,,,,,Enfermera,"Una vez que recibes la vacuna contra el coronavirus, eres inmune de por vida",Confió en la efectividad de la vacuna.
2021/06/30 11:19:55 p. m. GMT-5,Vacunado37,Ramiro,Malagón,Hombre,Hijo,1970,1,10,01/10/1970,51,48-52,1061763230,Cédula,3222322457,lorem@gmail.com,Sin pertenencia étnica,No,No,Miocardiopatías o hipertensión,Subsidiado,SANITAS,Ingeniero,Cauca,Popayán,Urbano,Camilo Torres,CL 3A 51A-03,Pfizer-BioNTech,1,HR1127,16/06/2021,,07/07/2021,Clínica Santa Gracia,Público,3,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 11:22:40 p. m. GMT-5,Vacunado38,Ivana,Acosta,Mujer,Esposo,1968,4,6,04/06/1968,53,53-57,105678721,Cédula,3220981081,euuuu@gmail.com,Sin pertenencia étnica,No,No,Miocardiopatías o hipertensión,Contributivo,SANITAS,Ama de casa,Cauca,Popayán,Urbano,La Esmeralda,CALLE 4B # 52DN - 28,Pfizer-BioNTech,2,BZ3466,31/05/2021,BZ3466,21/06/2021,Clínica Santa Gracia,Público,3,Dolor en el sitio de la inyección,Fiebre,,,,,,Enfermero,Puedes deshacerte de tu mascarilla después de vacunarte,Confió en la efectividad de la vacuna.
2021/06/30 11:25:10 p. m. GMT-5,Vacunado39,Ivan,Rivera,Hombre,Madre,1965,6,11,06/11/1965,56,53-57,7234519,Cédula,3222130662,feugiat.tellus@gmail.com,Sin pertenencia étnica,No,No,Ninguno,Contributivo,NUEVA EPS,Jubilado,Cauca,Popayán,Urbano,Pomona,CALLE 3A # 57-25,Pfizer-BioNTech,2,TC1124,02/06/2021,TC1124,23/06/2021,Nueva IPS Rehabilitar,Público,1,Dolor en el sitio de la inyección,Artralgia (dolor en las articulaciones),,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 11:27:04 p. m. GMT-5,Vacunado40,Ricardo,Suárez,Hombre,Esposa,1958,8,5,08/05/1958,63,60-69,1002897621,Cédula,3220410951,eget.volutpat@gamil.com,Sin pertenencia étnica,No,No,Miocardiopatías o hipertensión,Contributivo,SANITAS,Desempleado,Cauca,Popayán,Urbano,La Aldea,CALLE 3B #57-43,Pfizer-BioNTech,2,FD8875,06/05/2021,FD8875,27/05/2021,Hospital del Norte,Público,2,Dolor en el sitio de la inyección,,,,,,,Enfermera,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
2021/06/30 11:31:53 p. m. GMT-5,Vacunado41,Carlina,Ayala,Mujer,Esposo,1966,18,8,18/08/1966,55,53-57,56789123,Cédula,3224174454,sed@gamil.com,Sin pertenencia étnica,No,No,Sobrepeso y obesidad,Contributivo,EMSSANAR,Desempleado,Cauca,Popayán,Urbano,La Esmeralda,CALLE 3A #54-26,Pfizer-BioNTech,2,KP6679,26/05/2021,KP6679,16/06/2021,Hospital del Norte,Público,2,Dolor en el sitio de la inyección,,,,,,,Enfermero,No tengo ninguna creencia sobre la vacuna contra el Covid-19,Confió en la efectividad de la vacuna.
